Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g)
3/8/2024,T2,M9,4,26.5,0.8548,32.8,1021.247972,1.021247972,2.93,0.3485487958,0.6514512042,1.312147394
3/8/2024,T2,SI,4,26.5,3.6956,32.8,1021.247972,1.021247972,2.93,0.3485487958,0.6514512042,5.672873082
3/8/2024,T2,SI,11,26.5,0.998,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,1.532024751
3/8/2024,T2,C,13,26.5,1.1868,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,1.821850676
3/8/2024,T2,C,15,26.5,2.337,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,3.587516877
3/8/2024,T2,C,6,26.6,1.8386,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.822379233
3/8/2024,T2,C,12,26.6,2.0132,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.09040241
3/8/2024,T2,SI,9,26.6,1.9711,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.025775974
3/8/2024,T2,M9,5,26.6,0.8519,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,1.307725916
3/8/2024,T2,M9,6,26.6,1.387,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.129141736
3/8/2024,T2,SI,12,26.6,2.0102,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.085797201
3/8/2024,T2,C,11,26.6,2.3168,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.556449585
3/8/2024,T2,SI,15,26.6,1.5639,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.400695574
3/8/2024,T2,C,14,26.6,1.9067,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.926917482
3/8/2024,T2,C,16,26.6,2.1204,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.254961887
3/23/2024,T3,SI,3,26.5,2.6817,32.5,1021.022118,1.021022118,2.93,0.3484717125,0.6515282875,4.116014686
3/11/2024,T3,C,2,26.4,2.058,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.158903234
3/23/2024,T3,C,10,26.4,2.397,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,3.679102235
3/16/2024,T3,C,4,26.4,2.3114,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.547856626
3/23/2024,T3,M9,7,26.4,2.7405,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,4.206498694
3/16/2024,T3,C,18,26.4,1.5575,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,2.390666563
3/23/2024,T3,SI,14,26.4,2.5247,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,3.875106138
3/23/2024,T3,SI,10,26.4,1.3554,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,2.080373454
3/23/2024,T3,M9,3,26.3,4.6571,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,7.14819624
3/18/2024,T3,C,7,26.4,2.5422,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.902120409
3/23/2024,T3,C,9,26.3,1.6199,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,2.486389188
3/23/2024,T3,C,1,26.3,2.1356,32.5,1021.084444,1.021084444,2.93,0.3484929843,0.6515070157,3.277938608
3/23/2024,T3,C,8,26.2,1.9542,32.5,1021.115491,1.021115491,2.93,0.3485035807,0.6514964193,2.99955601
3/23/2024,T3,C,5,26.2,2.2951,32.5,1021.115491,1.021115491,2.93,0.3485035807,0.6514964193,3.522812915
3/18/2024,T3,M9,2,26.4,2.2655,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.477402953
3/23/2024,T3,SI,8,26,2.2314,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.425149013
3/23/2024,T3,SI,7,26,3.0251,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,4.643460733
3/23/2024,T3,SI,6,26,2.8087,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,4.31129158
3/23/2024,T3,SI,1,26,2.0731,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.182162059
3/23/2024,T3,M9,9,26,3.6499,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,5.602514736
3/23/2024,T3,SI,2,26,2.2959,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.524155068
3/23/2024,T3,M9,1,26,2.5695,32.5,1021.177355,1.021177355,2.93,0.3485246944,0.6514753056,3.944124939
3/23/2024,T3,M9,8,26.1,1.3767,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,2.113252857
3/23/2024,T3,SI,5,26.1,2.6645,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,4.090043029
3/23/2024,T3,C,3,26.1,2.2563,32.6,1021.221793,1.021221793,2.93,0.348539861,0.651460139,3.463450586
3/23/2024,T3,M9,4,26.1,0.8681,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.332439907
3/23/2024,T3,SI,4,26.1,3.7278,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,5.721771093
3/23/2024,T3,SI,11,26.1,1.0733,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.647399784
3/23/2024,T3,C,13,26.1,1.2476,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,1.914931492
3/23/2024,T3,C,15,26.1,2.4343,32.4,1021.071135,1.021071135,2.93,0.3484884419,0.6515115581,3.73638805
3/23/2024,T3,C,6,26.2,1.9744,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.030681133
3/23/2024,T3,C,12,26.2,2.0461,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.140739803
3/23/2024,T3,SI,9,26.2,2.0579,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,3.158852666
3/23/2024,T3,M9,5,26.2,0.9073,32.6,1021.19081,1.02119081,2.93,0.3485292866,0.6514707134,1.392694992
3/23/2024,T3,M9,6,26.3,1.4912,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,2.288937484
3/23/2024,T3,SI,12,26.3,2.0715,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.179676769
3/11/2024,T3,C,11,26.5,2.3424,32.6,1021.097398,1.021097398,2.93,0.3484974055,0.6515025945,3.595380924
3/23/2024,T3,SI,15,26.3,1.6376,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,2.513656132
3/23/2024,T3,C,14,26.3,1.9974,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.065935978
3/23/2024,T3,C,16,26.3,2.2315,32.6,1021.15975,1.02115975,2.93,0.3485186859,0.6514813141,3.42527092
2/3/2024,T0,SI,3,26.3,1.9713,34.3,1022.440592,1.022440592,2.93,0.3489558334,0.6510441666,3.027905173
2/3/2024,T0,C,2,26.3,1.7468,34.4,1022.515974,1.022515974,2.93,0.3489815611,0.6510184389,2.68318053
2/3/2024,T0,C,10,26.2,1.7387,34.4,1022.547261,1.022547261,2.93,0.3489922392,0.6510077608,2.670782293
2/3/2024,T0,C,4,26.2,1.8408,34.4,1022.547261,1.022547261,2.93,0.3489922392,0.6510077608,2.827616061
2/3/2024,T0,M9,7,26.1,2.1941,34.4,1022.578471,1.022578471,2.93,0.3490028912,0.6509971088,3.370368271
2/3/2024,T0,C,18,26.1,1.3564,34.5,1022.653883,1.022653883,2.93,0.3490286289,0.6509713711,2.083655381
2/3/2024,T0,SI,14,26.1,2.0308,34.5,1022.653883,1.022653883,2.93,0.3490286289,0.6509713711,3.119645641
2/3/2024,T0,SI,10,26.1,0.9325,34.5,1022.653883,1.022653883,2.93,0.3490286289,0.6509713711,1.43247467
2/3/2024,T0,M9,3,26.1,4.3767,34.5,1022.653883,1.022653883,2.93,0.3490286289,0.6509713711,6.723337146
2/3/2024,T0,C,7,26,2.3326,34.5,1022.685029,1.022685029,2.93,0.3490392591,0.6509607409,3.583319014
2/3/2024,T0,C,9,26,1.214,34.5,1022.685029,1.022685029,2.93,0.3490392591,0.6509607409,1.864935815
2/3/2024,T0,C,1,26,1.5093,34.5,1022.685029,1.022685029,2.93,0.3490392591,0.6509607409,2.318573003
2/3/2024,T0,C,8,26,1.6217,34.5,1022.685029,1.022685029,2.93,0.3490392591,0.6509607409,2.491240866
2/3/2024,T0,C,5,26,1.6885,34.5,1022.685029,1.022685029,2.93,0.3490392591,0.6509607409,2.593858422
2/3/2024,T0,M9,2,25.9,1.8036,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,2.770828733
2/3/2024,T0,SI,8,25.9,1.7669,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,2.714447376
2/3/2024,T0,SI,7,25.9,2.4867,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,3.820259375
2/3/2024,T0,SI,6,25.9,2.4365,34.5,1022.716099,1.022716099,2.93,0.349049863,0.650950137,3.742990226
2/3/2024,T0,SI,1,25.9,1.5368,34.6,1022.79154,1.02279154,2.93,0.3490756109,0.6509243891,2.360950098
