Date,TP,Genotype,Tag,Temp (C),wet weight (g),Salinity (ppt),calcDensity,Density of seawater (g/cm3),Density of aragonite (g/cm3),Density (seawater/aragonite),1-[Density (SW/A)],Dry weight (g),Initial SurfaceArea (cm2)
3/8/2024,T2,SI,14,26,2.382,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,3.656749673,
3/8/2024,T2,SI,10,26,1.2504,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,1.919563304,
3/8/2024,T2,M9,3,26,4.6273,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,7.103643057,
3/8/2024,T2,C,7,26,2.6089,32.8,1021.403398,1.021403398,2.93,0.3486018423,0.6513981577,4.005077339,
3/8/2024,T2,C,9,26.1,1.5594,32.9,1021.447811,1.021447811,2.93,0.3486170002,0.6513829998,2.393983264,
3/8/2024,T2,C,1,26.1,1.9937,32.9,1021.447811,1.021447811,2.93,0.3486170002,0.6513829998,3.060718503,
3/8/2024,T2,C,8,26.2,1.8947,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,2.90868691,
3/8/2024,T2,C,5,26.2,2.1252,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,3.262543633,
3/8/2024,T2,M9,2,26.2,2.2298,32.9,1021.41679,1.02141679,2.93,0.3486064129,0.6513935871,3.423122432,
3/8/2024,T2,SI,8,26.3,2.1489,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,3.298743239,
3/8/2024,T2,SI,7,26.3,2.9019,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,4.454661922,
3/8/2024,T2,SI,6,26.3,2.7325,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,4.194618595,
3/8/2024,T2,SI,1,26.3,1.9874,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,3.05082708,
3/8/2024,T2,M9,9,26.3,3.4763,32.8,1021.310374,1.021310374,2.93,0.3485700934,0.6514299066,5.336414501,
3/8/2024,T2,SI,2,26.4,2.1111,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.240664133,
3/8/2024,T2,M9,1,26.4,2.439,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.744010146,
3/8/2024,T2,M9,8,26.4,1.3136,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,2.016454173,
3/8/2024,T2,SI,5,26.4,2.49,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.822298181,
3/8/2024,T2,C,3,26.4,2.135,32.8,1021.279211,1.021279211,2.93,0.3485594577,0.6514405423,3.277352055,
3/8/2024,T2,M9,4,26.5,0.8548,32.8,1021.247972,1.021247972,2.93,0.3485487958,0.6514512042,1.312147394,
3/8/2024,T2,SI,4,26.5,3.6956,32.8,1021.247972,1.021247972,2.93,0.3485487958,0.6514512042,5.672873082,
3/8/2024,T2,SI,11,26.5,0.998,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,1.532024751,
3/8/2024,T2,C,13,26.5,1.1868,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,1.821850676,
3/8/2024,T2,C,15,26.5,2.337,32.9,1021.323265,1.021323265,2.93,0.3485744932,0.6514255068,3.587516877,
3/8/2024,T2,C,6,26.6,1.8386,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.822379233,
3/8/2024,T2,C,12,26.6,2.0132,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.09040241,
3/8/2024,T2,SI,9,26.6,1.9711,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.025775974,
3/8/2024,T2,M9,5,26.6,0.8519,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,1.307725916,
3/8/2024,T2,M9,6,26.6,1.387,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.129141736,
3/8/2024,T2,SI,12,26.6,2.0102,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.085797201,
3/8/2024,T2,C,11,26.6,2.3168,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.556449585,
3/8/2024,T2,SI,15,26.6,1.5639,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.400695574,
3/8/2024,T2,C,14,26.6,1.9067,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,2.926917482,
3/8/2024,T2,C,16,26.6,2.1204,32.9,1021.291936,1.021291936,2.93,0.3485638008,0.6514361992,3.254961887,
3/23/2024,T3,SI,3,26.5,2.6817,32.5,1021.022118,1.021022118,2.93,0.3484717125,0.6515282875,4.116014686,
3/11/2024,T3,C,2,26.4,2.058,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.158903234,
3/23/2024,T3,C,10,26.4,2.397,32.5,1021.053319,1.021053319,2.93,0.3484823615,0.6515176385,3.679102235,
3/16/2024,T3,C,4,26.4,2.3114,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,3.547856626,
3/23/2024,T3,M9,7,26.4,2.7405,32.6,1021.128612,1.021128612,2.93,0.3485080588,0.6514919412,4.206498694,
